Test, Duration(ms), Rounds, Convergence, Error
1, 16853, 10, false, true
2, 9415, 5, false, true
3, 9420, 7, true, false
4, 16895, 13, true, false
5, 71213, 50, false, false
6, 17871, 14, true, false
7, 24472, 17, true, false
8, 4516, 2, false, true
9, 19030, 15, true, false
10, 13110, 10, true, false
11, 16082, 13, true, false
12, 12688, 9, true, false
13, 12798, 9, true, false
14, 5015, 1, false, true
15, 14131, 11, true, false
16, 17820, 13, true, false
