Test, Duration(ms), Rounds, Convergence, Error
1, 8665, 3, false, true
2, 21590, 12, true, false
3, 7042, 2, false, true
4, 23323, 10, false, true
5, 36696, 19, true, false
6, 16412, 10, true, false
7, 24141, 15, true, false
8, 9028, 6, true, false
9, 30501, 19, true, false
10, 19704, 13, true, false
11, 7505, 1, false, true
12, 6517, 4, true, false
13, 15068, 7, false, true
14, 39172, 23, true, false
15, 5999, 1, false, true
16, 11386, 3, false, true
