Test, Duration(ms), Rounds, Convergence, Error
1, 5081, 4, true, false
2, 58445, 51, false, false
3, 12639, 7, false, true
4, 4471, 4, true, false
5, 11029, 7, false, true
6, 21525, 13, false, true
7, 2325, 2, true, false
8, 23446, 19, true, false
9, 7594, 7, true, false
10, 15370, 9, false, true
11, 13440, 11, true, false
12, 32792, 23, true, false
13, 20597, 15, true, false
14, 3008, 3, true, false
15, 4928, 5, true, false
16, 18735, 14, true, false
