Test, Duration(ms), Rounds, Convergence, Error
1, 14529, 8, true, false
2, 23594, 13, true, false
3, 26998, 15, true, false
4, 27496, 16, true, false
5, 20609, 12, true, false
6, 20427, 12, true, false
7, 26830, 15, true, false
8, 16931, 10, true, false
9, 28061, 16, true, false
10, 29035, 17, true, false
11, 24479, 14, true, false
12, 42337, 23, true, false
13, 25971, 15, true, false
14, 41770, 19, true, false
15, 24427, 14, true, false
16, 23916, 14, true, false
