Test, Duration(ms), Rounds, Convergence, Error
1, 7955, 7, true, false
2, 58535, 51, false, false
3, 31978, 16, false, true
4, 5054, 2, false, true
5, 13568, 11, true, false
6, 21285, 14, true, false
7, 2523, 2, true, false
8, 47508, 30, true, false
9, 12086, 8, false, true
10, 20933, 16, true, false
11, 17901, 14, true, false
12, 21111, 16, true, false
13, 14861, 11, true, false
14, 5288, 5, true, false
15, 3686, 4, true, false
16, 16865, 11, true, false
