Test, Duration(ms), Rounds, Convergence, Error
1, 30117, 15, true, false
2, 18129, 12, true, false
3, 29078, 17, true, false
4, 11769, 3, false, true
5, 46326, 21, false, true
6, 21616, 14, true, false
7, 117486, 12, true, false
8, 17598, 9, true, false
9, 20462, 12, true, false
10, 14379, 9, true, false
11, 33271, 18, true, false
12, 83252, 51, false, false
13, 14945, 9, true, false
14, 18430, 11, true, false
15, 11462, 7, true, false
16, 18840, 12, true, false
